142   IFJ   ['M', 'R', 'C', 'U', 'E', 'F', 'G', 'H', 'I', 'J', 'Q', 'L', 'A', 'X', 'T', 'P', 'K', 'B', 'S', 'O', 'D', 'V', 'W', 'N', 'Y', 'Z']   6
142   IFJ   ['R', 'M', 'C', 'U', 'E', 'F', 'G', 'H', 'I', 'J', 'Q', 'L', 'B', 'X', 'T', 'P', 'K', 'A', 'S', 'O', 'D', 'V', 'W', 'N', 'Y', 'Z']   6
142   IFJ   ['A', 'B', 'C', 'U', 'E', 'M', 'G', 'H', 'I', 'J', 'Q', 'L', 'F', 'X', 'T', 'P', 'K', 'Y', 'S', 'O', 'D', 'V', 'W', 'N', 'R', 'Z']   6
142   IFJ   ['A', 'B', 'C', 'U', 'E', 'F', 'G', 'H', 'I', 'J', 'Q', 'L', 'S', 'X', 'T', 'P', 'K', 'R', 'M', 'O', 'D', 'V', 'W', 'N', 'Y', 'Z']   5
142   IFJ   ['A', 'B', 'C', 'U', 'E', 'R', 'G', 'H', 'I', 'J', 'Q', 'L', 'Y', 'X', 'T', 'P', 'K', 'F', 'S', 'O', 'D', 'V', 'W', 'N', 'M', 'Z']   6
142   IFJ   ['A', 'B', 'J', 'U', 'E', 'F', 'G', 'H', 'I', 'C', 'Q', 'L', 'S', 'X', 'O', 'P', 'K', 'R', 'M', 'Y', 'D', 'V', 'W', 'N', 'T', 'Z']   6
142   IFJ   ['A', 'B', 'V', 'U', 'E', 'F', 'G', 'H', 'I', 'J', 'Q', 'L', 'S', 'X', 'O', 'P', 'K', 'R', 'M', 'W', 'D', 'C', 'T', 'N', 'Y', 'Z']   6
142   IFJ   ['A', 'B', 'W', 'U', 'E', 'F', 'G', 'H', 'I', 'J', 'Q', 'L', 'S', 'X', 'O', 'P', 'K', 'R', 'M', 'V', 'D', 'T', 'C', 'N', 'Y', 'Z']   6
142   IFJ   ['A', 'B', 'Y', 'U', 'E', 'F', 'G', 'H', 'I', 'T', 'Q', 'L', 'S', 'X', 'O', 'P', 'K', 'R', 'M', 'J', 'D', 'V', 'W', 'N', 'C', 'Z']   6
