021   IXT   ['H', 'T', 'X', 'D', 'E', 'F', 'G', 'A', 'I', 'M', 'K', 'L', 'J', 'N', 'O', 'V', 'W', 'R', 'S', 'B', 'U', 'P', 'Q', 'C', 'Y', 'Z']   6
321   MPV   ['A', 'B', 'V', 'D', 'F', 'E', 'G', 'H', 'I', 'J', 'P', 'L', 'M', 'T', 'O', 'K', 'X', 'R', 'U', 'N', 'S', 'C', 'W', 'Q', 'Y', 'Z']   6
321   OZQ   ['A', 'B', 'C', 'L', 'E', 'F', 'V', 'H', 'K', 'J', 'I', 'D', 'M', 'N', 'O', 'W', 'S', 'R', 'Q', 'Z', 'U', 'G', 'P', 'X', 'Y', 'T']   6
321   RPL   ['M', 'B', 'C', 'D', 'Y', 'X', 'G', 'H', 'I', 'P', 'K', 'L', 'A', 'N', 'O', 'J', 'Z', 'R', 'S', 'T', 'V', 'U', 'W', 'F', 'E', 'Q']   6
321   RYG   ['A', 'P', 'C', 'M', 'E', 'F', 'G', 'S', 'I', 'J', 'K', 'L', 'D', 'N', 'O', 'B', 'Q', 'U', 'H', 'T', 'R', 'Z', 'W', 'Y', 'X', 'V']   6
321   ZCL   ['A', 'B', 'X', 'D', 'U', 'R', 'G', 'H', 'J', 'I', 'K', 'L', 'M', 'Q', 'O', 'S', 'N', 'F', 'P', 'T', 'E', 'V', 'W', 'C', 'Y', 'Z']   6
341   GEM   ['A', 'B', 'I', 'D', 'N', 'F', 'V', 'J', 'C', 'H', 'L', 'K', 'M', 'E', 'O', 'P', 'Q', 'R', 'S', 'W', 'U', 'G', 'T', 'X', 'Y', 'Z']   6
401   FIU   ['L', 'B', 'K', 'D', 'R', 'F', 'G', 'H', 'I', 'Z', 'C', 'A', 'M', 'N', 'O', 'X', 'Q', 'E', 'S', 'T', 'W', 'V', 'U', 'P', 'Y', 'J']   6
401   HFT   ['H', 'B', 'C', 'D', 'E', 'Z', 'G', 'A', 'I', 'U', 'K', 'Y', 'M', 'N', 'O', 'V', 'S', 'R', 'Q', 'T', 'J', 'P', 'W', 'X', 'L', 'F']   6
401   KPF   ['E', 'B', 'C', 'D', 'A', 'F', 'G', 'S', 'I', 'J', 'U', 'N', 'O', 'L', 'M', 'P', 'Q', 'R', 'H', 'T', 'K', 'Z', 'W', 'X', 'Y', 'V']   6
421   BCP   ['A', 'B', 'K', 'D', 'E', 'F', 'G', 'P', 'T', 'J', 'C', 'L', 'U', 'N', 'O', 'H', 'Q', 'R', 'S', 'I', 'M', 'Z', 'W', 'Y', 'X', 'V']   6
421   EEB   ['A', 'R', 'C', 'Q', 'F', 'E', 'H', 'G', 'I', 'J', 'K', 'N', 'U', 'L', 'O', 'P', 'D', 'B', 'S', 'T', 'M', 'V', 'W', 'X', 'Y', 'Z']   6
421   ZYZ   ['X', 'G', 'C', 'D', 'E', 'F', 'B', 'V', 'I', 'J', 'M', 'L', 'K', 'N', 'O', 'P', 'R', 'Q', 'S', 'U', 'T', 'H', 'W', 'A', 'Y', 'Z']   6
431   QVD   ['A', 'B', 'E', 'P', 'C', 'Z', 'G', 'H', 'I', 'J', 'K', 'O', 'M', 'N', 'L', 'D', 'T', 'R', 'S', 'Q', 'X', 'V', 'W', 'U', 'Y', 'F']   6
431   URF   ['A', 'H', 'C', 'D', 'Y', 'F', 'G', 'B', 'I', 'J', 'P', 'Q', 'O', 'N', 'M', 'K', 'L', 'R', 'S', 'T', 'V', 'U', 'W', 'X', 'E', 'Z']   6
